,probability,TN,TP,FN,FP
77,0.6481752,,,,
420,0.63227785,,,,
336,0.6000801,,,,
414,0.53986675,,,,
344,0.520603,,,,
18,0.5166105,,,,
463,0.5086284,,,,
67,0.42491037,,,,
377,0.42005044,,,,
91,0.37134778,,,,
96,0.35184595,,,,
712,0.35118127,,,,
553,0.33467937,,,,
159,0.32671678,,,,
342,0.3176943,,,,
695,0.28488177,,,,
85,0.26530737,,,,
390,0.25509262,,,,
555,0.22821042,,,,
249,0.2076912,,,,
15,0.19612524,,,,
12,0.19039747,,,,
68,0.18777734,,,,
826,0.17332053,,,,
594,0.17320162,,,,
253,0.17087388,,,,
32,0.15765288,,,,
607,0.12678534,,,,
110,0.11632958,,,,
626,0.114545494,,,,
212,0.11078185,,,,
790,0.10875791,,,,
341,0.10212982,,,,
656,0.07881424,,,,
548,0.06543216,,,,
57,0.057290345,,,,
368,0.05359313,,,,
667,0.049200892,,,,
453,0.04833296,,,,
170,0.035014868,,,,
769,0.034645855,,,,
313,0.032449335,,,,
298,0.029300839,,,,
1,0.028897315,,,,
693,0.028756797,,,,
679,0.025256485,,,,
255,0.024850845,,,,
410,0.022569507,,,,
645,0.021887928,,,,
59,0.020581007,,,,
646,0.020373791,,,,
217,0.01929316,,,,
758,0.018401802,,,,
64,0.015524775,,,,
776,0.013850808,,,,
408,0.013606429,,,,
251,0.012816846,,,,
662,0.012683332,,,,
41,0.012485623,,,,
525,0.011828572,,,,
378,0.011534542,,,,
485,0.010369778,,,,
320,0.009343833,,,,
333,0.009269804,,,,
641,0.009112775,,,,
505,0.009094566,,,,
75,0.00894776,,,,
478,0.0084300935,,,,
223,0.0081728995,,,,
53,0.007690698,,,,
348,0.007659495,,,,
541,0.007575214,,,,
116,0.006891489,,,,
658,0.0068615675,,,,
302,0.006552875,,,,
785,0.006317109,,,,
710,0.0062259436,,,,
382,0.005739063,,,,
709,0.0056946278,,,,
235,0.005292326,,,,
797,0.0051940084,,,,
28,0.005193144,,,,
140,0.0050136447,,,,
572,0.0049473047,,,,
648,0.004397124,,,,
415,0.004122287,,,,
397,0.0040097237,,,,
353,0.0039693415,,,,
384,0.0038371384,,,,
58,0.0037292242,,,,
650,0.0036959648,,,,
672,0.003386557,,,,
356,0.0033282638,,,,
177,0.00332129,,,,
141,0.003225267,,,,
761,0.0031805634,,,,
289,0.0028973818,,,,
143,0.0028778017,,,,
208,0.0028547049,,,,
104,0.0027680695,,,,
325,0.002759099,,,,
205,0.002733022,,,,
381,0.0026017725,,,,
611,0.0025605857,,,,
498,0.0024344027,,,,
720,0.0024164617,,,,
466,0.0024031997,,,,
40,0.002201438,,,,
728,0.0021593869,,,,
666,0.0021485686,,,,
501,0.0021459758,,,,
514,0.0021433234,,,,
188,0.0020293593,,,,
502,0.0020065606,,,,
379,0.0019583106,,,,
99,0.0019441545,,,,
816,0.0019202828,,,,
190,0.0019080639,,,,
61,0.0018330812,,,,
618,0.0017879605,,,,
684,0.0017548501,,,,
227,0.0017358661,,,,
632,0.0016533434,,,,
609,0.0016251802,,,,
779,0.0015459657,,,,
781,0.0014681518,,,,
557,0.0014655292,,,,
522,0.0014400482,,,,
747,0.0014104247,,,,
23,0.0013804734,,,,
528,0.001380384,,,,
753,0.0013729334,,,,
345,0.0013560653,,,,
364,0.0013210773,,,,
355,0.0012930334,,,,
204,0.0012564957,,,,
757,0.0012550652,,,,
686,0.0011872947,,,,
480,0.0011805594,,,,
259,0.001160711,,,,
38,0.00115484,,,,
293,0.0011299253,,,,
27,0.0011124313,,,,
389,0.0010845363,,,,
474,0.0009639859,,,,
446,0.00090810657,,,,
441,0.0008980632,,,,
578,0.000857383,,,,
495,0.0008569658,,,,
794,0.00085413456,,,,
185,0.0008433759,,,,
145,0.0008160472,,,,
422,0.000813216,,,,
539,0.00080356,,,,
489,0.0007979572,,,,
577,0.00079637766,,,,
568,0.0007830858,,,,
332,0.0007776022,,,,
395,0.00075921416,,,,
682,0.00075650215,,,,
721,0.00074255466,,,,
305,0.00071260333,,,,
120,0.0006889701,,,,
425,0.0006608069,,,,
705,0.0006329119,,,,
304,0.0006196499,,,,
323,0.0006183684,,,,
701,0.0006094873,,,,
725,0.0005839765,,,,
22,0.000575006,,,,
303,0.0005712807,,,,
151,0.0005555153,,,,
534,0.00054967403,,,,
643,0.0005491972,,,,
629,0.00054350495,,,,
4,0.00053060055,,,,
343,0.00052812696,,,,
782,0.000526458,,,,
36,0.00051504374,,,,
264,0.00051254034,,,,
563,0.0005031228,,,,
488,0.00048336387,,,,
768,0.00047141314,,,,
766,0.00044977665,,,,
283,0.00044217706,,,,
823,0.00043833256,,,,
62,0.000426203,,,,
469,0.0004120171,,,,
533,0.0004117489,,,,
535,0.00040775537,,,,
574,0.0004029572,,,,
175,0.00040251017,,,,
613,0.00040191412,,,,
598,0.000395298,,,,
158,0.00038725138,,,,
759,0.0003825426,,,,
138,0.00037521124,,,,
236,0.00037178397,,,,
358,0.0003617704,,,,
784,0.000356704,,,,
531,0.0003528297,,,,
246,0.00035229325,,,,
584,0.00034978986,,,,
73,0.00034976006,,,,
365,0.00032252073,,,,
80,0.00031781197,,,,
744,0.00031408668,,,,
346,0.0003119111,,,,
2,0.00031128526,,,,
579,0.00030505657,,,,
627,0.00029826164,,,,
202,0.00029301643,,,,
406,0.00029289722,,,,
772,0.00028777122,,,,
269,0.0002848804,,,,
262,0.00028285384,,,,
741,0.00028154254,,,,
220,0.0002719164,,,,
196,0.00026854873,,,,
581,0.00026726723,,,,
724,0.00025814772,,,,
106,0.00025442243,,,,
749,0.00025331974,,,,
549,0.00024294853,,,,
564,0.00024184585,,,,
750,0.0002399981,,,,
738,0.00023397803,,,,
148,0.00023397803,,,,
45,0.00023150444,,,,
111,0.00023004413,,,,
638,0.00022500753,,,,
242,0.00021588802,,,,
10,0.00021576881,,,,
795,0.00021341443,,,,
689,0.00020992756,,,,
438,0.00020566583,,,,
319,0.00020310283,,,,
493,0.00019946694,,,,
385,0.00019335747,,,,
704,0.00019189715,,,,
670,0.00019103289,,,,
714,0.00019016862,,,,
435,0.0001872778,,,,
500,0.00018525124,,,,
601,0.0001823008,,,,
675,0.00018021464,,,,
411,0.00017869473,,,,
447,0.00017306209,,,,
424,0.00016593933,,,,
46,0.00016370416,,,,
287,0.0001604855,,,,
44,0.00015819073,,,,
339,0.00015518069,,,,
84,0.00015437603,,,,
691,0.0001539886,,,,
515,0.00015377998,,,,
573,0.00014981627,,,,
126,0.00014615059,,,,
135,0.00014474988,,,,
113,0.00014334917,,,,
809,0.00013896823,,,,
512,0.00013643503,,,,
402,0.00013542175,,,,
203,0.00013104081,,,,
681,0.00012797117,,,,
814,0.00012600422,,,,
524,0.00012519956,,,,
86,0.00012508035,,,,
238,0.0001245141,,,,
16,0.00012291601,,,,
787,0.00012247839,,,,
78,0.000121073404,,,,
756,0.00012048493,,,,
407,0.00011827731,,,,
482,0.00011568108,,,,
275,0.0001149638,,,,
369,0.00011129738,,,,
98,0.000108331886,,,,
518,0.00010768358,,,,
279,0.00010748474,,,,
419,0.00010679169,,,,
678,0.00010422568,,,,
591,0.00010189046,,,,
640,0.00010122894,,,,
380,0.00010086064,,,,
582,0.00010046656,,,,
673,9.97785e-05,,,,
