,probability,TN,TP,FN
330,0.85975206,,,
683,0.85359454,,,
725,0.8529326,,,
672,0.84480083,,,
365,0.842998,,,
289,0.83134484,,,
489,0.82057613,,,
415,0.8200801,,,
500,0.8149372,,,
626,0.8099816,,,
67,0.79841334,,,
106,0.7941557,,,
469,0.78051853,,,
379,0.74815977,,,
666,0.74582094,,,
255,0.73577666,,,
618,0.72984743,,,
759,0.72483015,,,
356,0.7033912,,,
607,0.70252025,,,
342,0.6999705,,,
662,0.68503845,,,
298,0.66653824,,,
712,0.6609255,,,
541,0.6394592,,,
744,0.62659097,,,
435,0.5593778,,,
790,0.5416406,,,
514,0.5364953,,,
502,0.5255322,,,
555,0.50781447,,,
241,0.43092653,,,
753,0.42062777,,,
148,0.40076733,,,
667,0.18537849,,,
367,0.113782644,,,
313,0.095437795,,,
341,0.09083539,,,
110,0.08759123,,,
764,0.08187029,,,
814,0.045832127,,,
112,0.041926414,,,
453,0.019610196,,,
68,0.018381447,,,
728,0.015545011,,,
478,0.01069054,,,
18,0.0101083815,,,
629,0.008813113,,,
611,0.008430302,,,
75,0.00727126,,,
320,0.0071754754,,,
525,0.007103443,,,
721,0.006251633,,,
645,0.0059780777,,,
572,0.0054359734,,,
205,0.0053197443,,,
769,0.0049669445,,,
578,0.0049134493,,,
58,0.004805237,,,
203,0.004600376,,,
564,0.004078895,,,
495,0.0037443042,,,
747,0.0034624338,,,
188,0.0031820536,,,
414,0.0026862621,,,
22,0.00251019,,,
253,0.002501458,,,
682,0.0024725795,,,
826,0.002456665,,,
463,0.002412349,,,
579,0.0022301972,,,
368,0.0022111833,,,
452,0.0021956265,,,
650,0.0021688044,,,
1,0.0020067096,,,
422,0.0019244254,,,
141,0.0019105971,,,
548,0.0018393695,,,
446,0.0017528832,,,
190,0.0016467273,,,
466,0.0016237795,,,
208,0.0015782118,,,
668,0.0015775561,,,
377,0.0015443563,,,
15,0.0014950335,,,
98,0.0014081895,,,
343,0.0012371242,,,
40,0.0011946559,,,
41,0.0010888577,,,
91,0.0010809004,,,
534,0.0010540187,,,
354,0.000985235,,,
438,0.0009674132,,,
384,0.0009405315,,,
689,0.0009122491,,,
95,0.0009008944,,,
196,0.00081813335,,,
251,0.00079107285,,,
57,0.0007800758,,,
678,0.00077185035,,,
608,0.00075152516,,,
698,0.0006620884,,,
104,0.00064104795,,,
151,0.00063195825,,,
323,0.00061801076,,,
507,0.0006143153,,,
138,0.00056010485,,,
382,0.0005480051,,,
293,0.0005377531,,,
279,0.00053671,,,
515,0.0005262792,,,
485,0.0005168021,,,
217,0.00050500035,,,
353,0.0005044043,,,
73,0.00048664212,,,
501,0.00047948956,,,
710,0.00047907233,,,
598,0.0004785359,,,
785,0.00046935678,,,
61,0.00046226382,,,
369,0.00043699145,,,
159,0.0004297197,,,
77,0.00042700768,,,
761,0.00042292476,,,
493,0.00040838122,,,
35,0.00039109588,,,
763,0.00038141012,,,
344,0.00037756562,,,
695,0.0003732741,,,
220,0.00033533573,,,
227,0.00032660365,,,
441,0.0002859831,,,
488,0.00026211143,,,
120,0.0002603829,,,
269,0.0002515316,,,
385,0.00025114417,,,
274,0.00024840236,,,
336,0.00024417043,,,
810,0.00022947788,,,
302,0.00022915006,,,
36,0.00021007657,,,
641,0.00020980835,,,
563,0.00020611286,,,
321,0.00018513203,,,
691,0.00018185377,,,
410,0.0001758635,,,
498,0.0001732111,,,
99,0.00017294288,,,
85,0.00017222762,,,
528,0.00017216802,,,
303,0.00016281009,,,
581,0.00015926361,,,
714,0.00015556812,,,
657,0.00015318394,,,
345,0.00015211105,,,
28,0.00014996529,,,
512,0.00014898181,,,
740,0.00014862418,,,
16,0.00014337897,,,
447,0.0001386404,,,
185,0.00013634562,,,
420,0.00013193488,,,
815,0.0001309216,,,
701,0.00012767315,,,
116,0.00012040935,,,
594,0.000115725554,,,
577,0.000114439936,,,
10,0.00011264691,,,
505,0.00011245177,,,
89,0.00011095168,,,
143,0.00010924883,,,
804,0.00010908767,,,
574,0.00010592486,,,
600,0.00010588093,,,
46,9.742365e-05,,,
236,9.40834e-05,,,
332,8.936252e-05,,,
408,8.4253494e-05,,,
681,8.276884e-05,,,
212,7.850092e-05,,,
720,7.6078446e-05,,,
693,7.464182e-05,,,
219,7.394634e-05,,,
617,7.3413445e-05,,,
31,7.215076e-05,,,
349,7.206281e-05,,,
613,6.880696e-05,,,
86,6.737767e-05,,,
411,6.7102505e-05,,,
23,6.703413e-05,,,
557,6.521499e-05,,,
59,6.448073e-05,,,
535,6.42981e-05,,,
632,6.42035e-05,,,
724,6.366979e-05,,,
704,6.219903e-05,,,
553,5.9589045e-05,,,
380,5.933064e-05,,,
782,5.7749407e-05,,,
339,5.7415415e-05,,,
768,5.5730237e-05,,,
425,5.5699686e-05,,,
283,5.542457e-05,,,
772,5.198599e-05,,,
32,5.165961e-05,,,
482,5.1636656e-05,,,
643,5.1240288e-05,,,
423,5.1224848e-05,,,
366,5.0952105e-05,,,
304,5.0621205e-05,,,
364,4.656902e-05,,,
784,4.648028e-05,,,
209,4.5744706e-05,,,
705,4.5394823e-05,,,
