,probability,gold,TP,TN,FP,FN
120,0.9400865,True,,,,
259,0.9252218,True,,,,
564,0.9208226,True,,,,
415,0.82355857,True,,,,
485,0.8106181,True,,,,
408,0.79335916,True,,,,
348,0.781869,True,,,,
572,0.75578374,True,,,,
501,0.6501738,True,,,,
646,0.47600433,False,,,,
368,0.27683538,True,,,,
555,0.273663,False,,,,
548,0.25283647,True,,,,
253,0.22591698,False,,,,
505,0.21630925,False,,,,
170,0.20659003,True,,,,
15,0.16974875,False,,,,
502,0.1298267,False,,,,
790,0.11689952,False,,,,
356,0.07954082,False,,,,
410,0.07720497,False,,,,
313,0.076161176,False,,,,
32,0.064349264,False,,,,
645,0.059459627,False,,,,
341,0.049761742,False,,,,
64,0.048847646,False,,,,
1,0.04834345,False,,,,
23,0.04574889,False,,,,
27,0.043681353,False,,,,
712,0.043336093,False,,,,
757,0.038876712,False,,,,
251,0.033262163,False,,,,
355,0.033195347,True,,,,
611,0.029429346,False,,,,
662,0.027398616,False,,,,
453,0.022082835,False,,,,
650,0.018795699,False,,,,
91,0.018456131,False,,,,
96,0.01818937,False,,,,
342,0.017974168,False,,,,
563,0.01690495,False,,,,
481,0.016311526,False,,,,
659,0.01583007,False,,,,
626,0.014694363,False,,,,
463,0.012989461,False,,,,
382,0.011539608,False,,,,
18,0.010550469,False,,,,
112,0.010388792,False,,,,
2,0.009349018,False,,,,
395,0.008331537,False,,,,
75,0.008234918,False,,,,
632,0.008108914,False,,,,
541,0.008065492,False,,,,
99,0.0072856247,False,,,,
379,0.007276863,False,,,,
574,0.006975174,False,,,,
345,0.006890893,False,,,,
28,0.006499052,False,,,,
287,0.00614962,False,,,,
469,0.0060120225,False,,,,
249,0.005906433,False,,,,
40,0.0058941245,False,,,,
629,0.005891055,False,,,,
148,0.005168706,False,,,,
274,0.0051561,False,,,,
190,0.0050548613,False,,,,
298,0.0049563944,False,,,,
126,0.0047774315,False,,,,
212,0.0046878755,False,,,,
188,0.00467062,False,,,,
67,0.0046672225,False,,,,
779,0.004185915,False,,,,
159,0.004036784,False,,,,
332,0.003949851,False,,,,
333,0.0038917363,False,,,,
498,0.0036132932,False,,,,
377,0.0035973787,False,,,,
104,0.0034673512,False,,,,
236,0.0034250915,False,,,,
320,0.0033039749,False,,,,
73,0.003227055,False,,,,
384,0.003163159,False,,,,
618,0.0030771494,False,,,,
77,0.0030286312,False,,,,
151,0.0029962957,False,,,,
747,0.002924651,False,,,,
128,0.0028460324,False,,,,
489,0.0027981699,False,,,,
344,0.0027656257,False,,,,
116,0.0027351975,False,,,,
166,0.0026389658,False,,,,
466,0.0025432706,False,,,,
289,0.0025393367,False,,,,
323,0.0025385916,False,,,,
365,0.0025310814,False,,,,
364,0.0025177598,False,,,,
420,0.0025014281,False,,,,
525,0.0024318695,False,,,,
554,0.0022608936,False,,,,
613,0.0022145808,False,,,,
127,0.0021638572,False,,,,
594,0.0020570755,False,,,,
826,0.0020524128,False,,,,
62,0.0020188987,False,,,,
42,0.0019909441,False,,,,
744,0.0019816756,False,,,,
41,0.0019067228,False,,,,
255,0.0019055009,False,,,,
616,0.0018598437,False,,,,
422,0.0018466413,False,,,,
534,0.0017754436,False,,,,
205,0.0017524362,False,,,,
578,0.0016981363,False,,,,
707,0.0016638339,False,,,,
435,0.0016531646,False,,,,
110,0.0016528666,False,,,,
397,0.0016478896,False,,,,
759,0.0016478896,False,,,,
672,0.0016180575,False,,,,
441,0.0016014874,False,,,,
579,0.0015948713,False,,,,
681,0.0015912056,False,,,,
353,0.0015255511,False,,,,
343,0.0015083253,False,,,,
293,0.0014578402,False,,,,
414,0.0014162958,False,,,,
557,0.0014017224,False,,,,
666,0.0013551414,False,,,,
141,0.0013203025,False,,,,
725,0.0013098121,False,,,,
581,0.0012966096,False,,,,
111,0.0012681484,False,,,,
761,0.0012660027,False,,,,
607,0.0012459755,False,,,,
785,0.0012269318,False,,,,
201,0.0012226403,False,,,,
33,0.0011784434,False,,,,
740,0.0011728108,False,,,,
208,0.0011533499,False,,,,
196,0.0011426806,False,,,,
728,0.0011367202,False,,,,
85,0.001124084,False,,,,
509,0.0011202991,False,,,,
658,0.0011013746,False,,,,
500,0.0010789335,False,,,,
553,0.001064837,False,,,,
184,0.0010586083,False,,,,
769,0.0010350347,False,,,,
336,0.0010325015,False,,,,
814,0.0009813309,False,,,,
177,0.0009470284,False,,,,
69,0.00089356303,False,,,,
302,0.0008896291,False,,,,
776,0.00087812543,False,,,,
74,0.0008676052,False,,,,
68,0.0008583069,False,,,,
178,0.0008547604,False,,,,
667,0.00085029006,False,,,,
789,0.0008482933,False,,,,
823,0.0008352399,False,,,,
749,0.0007891953,False,,,,
185,0.00078478456,False,,,,
522,0.0007418692,False,,,,
797,0.00071173906,False,,,,
503,0.00067055225,False,,,,
106,0.0006594956,False,,,,
439,0.00064331293,False,,,,
86,0.00063320994,False,,,,
438,0.0006080866,False,,,,
695,0.0005996227,False,,,,
417,0.0005994141,False,,,,
718,0.0005925596,False,,,,
784,0.0005919337,False,,,,
19,0.00056278706,False,,,,
309,0.00055655837,False,,,,
478,0.0005553663,False,,,,
609,0.00054085255,False,,,,
22,0.0005185604,False,,,,
217,0.00050237775,False,,,,
682,0.00049862266,False,,,,
303,0.00047674775,False,,,,
452,0.0004582703,False,,,,
330,0.00044962764,False,,,,
393,0.0004426837,False,,,,
683,0.00043582916,False,,,,
493,0.00043529272,False,,,,
758,0.0004323721,False,,,,
44,0.0003976822,False,,,,
724,0.00039091706,False,,,,
491,0.00038972497,False,,,,
381,0.00038918853,False,,,,
713,0.0003890097,False,,,,
693,0.0003771782,False,,,,
495,0.0003721118,False,,,,
59,0.00037133694,False,,,,
195,0.0003693998,False,,,,
687,0.00036168098,False,,,,
446,0.00035384297,False,,,,
778,0.0003529191,False,,,,
721,0.00035068393,False,,,,
514,0.000349015,False,,,,
532,0.00034469366,False,,,,
447,0.00034219027,False,,,,
549,0.00033590198,False,,,,
473,0.0003298819,False,,,,
143,0.00032931566,False,,,,
524,0.00032180548,False,,,,
624,0.00032040477,False,,,,
121,0.00031667948,False,,,,
710,0.0003156364,False,,,,
598,0.0003106594,False,,,,
376,0.00030434132,False,,,,
787,0.00029793382,False,,,,
584,0.00029566884,False,,,,
656,0.00029453635,False,,,,
689,0.00029203296,False,,,,
543,0.00028923154,False,,,,
768,0.0002886355,False,,,,
781,0.0002860129,False,,,,
224,0.00028589368,False,,,,
773,0.0002849698,False,,,,
583,0.0002821684,False,,,,
492,0.0002821684,False,,,,
57,0.0002810359,False,,,,
458,0.00027912855,False,,,,
670,0.00027227402,False,,,,
325,0.0002579391,False,,,,
730,0.00025105476,False,,,,
753,0.00024977326,False,,,,
312,0.00024282932,False,,,,
643,0.00023829937,False,,,,
390,0.0002335608,False,,,,
597,0.00023078918,False,,,,
108,0.00022941828,False,,,,
4,0.00022426248,False,,,,
242,0.00021961331,False,,,,
690,0.00021657348,False,,,,
767,0.0002066195,False,,,,
100,0.00020289421,False,,,,
16,0.00019699335,False,,,,
138,0.00019672513,False,,,,
137,0.00019654632,False,,,,
684,0.00019523501,False,,,,
519,0.00019416213,False,,,,
219,0.00019264221,False,,,,
149,0.00019001961,False,,,,
319,0.00018823147,False,,,,
