,probability,gold,TN,TP,FN,FP
687,0.82283115,1.0,,,,
108,0.7839669,1.0,,,,
309,0.7826134,1.0,,,,
767,0.77702564,1.0,,,,
195,0.767396,1.0,,,,
184,0.767349,1.0,,,,
417,0.7587799,1.0,,,,
730,0.75757337,1.0,,,,
543,0.7564414,1.0,,,,
659,0.7544594,1.0,,,,
166,0.7387076,1.0,,,,
503,0.73383534,1.0,,,,
492,0.73352593,1.0,,,,
137,0.73245084,1.0,,,,
376,0.7279092,1.0,,,,
481,0.7186437,1.0,,,,
178,0.7089572,1.0,,,,
789,0.6998583,1.0,,,,
247,0.6943197,1.0,,,,
121,0.6900649,0.0,,,,
397,0.6700065,1.0,,,,
646,0.65322196,0.0,,,,
126,0.6430683,1.0,,,,
148,0.6250597,1.0,,,,
33,0.61306965,1.0,,,,
69,0.6110674,1.0,,,,
458,0.5928672,1.0,,,,
718,0.5733001,1.0,,,,
581,0.5413697,1.0,,,,
563,0.53852284,1.0,,,,
723,0.48790455,1.0,,,,
469,0.48018777,1.0,,,,
629,0.44472623,1.0,,,,
439,0.42472073,1.0,,,,
613,0.38096076,1.0,,,,
23,0.3757332,1.0,,,,
128,0.34538457,1.0,,,,
681,0.29642373,0.0,,,,
545,0.20624754,1.0,,,,
42,0.10176635,0.0,,,,
190,0.08947879,0.0,,,,
724,0.078104734,0.0,,,,
597,0.05417511,0.0,,,,
208,0.05333385,0.0,,,,
522,0.049146354,1.0,,,,
251,0.0458757,0.0,,,,
74,0.040459007,0.0,,,,
453,0.038434952,0.0,,,,
171,0.021662325,0.0,,,,
73,0.020125777,0.0,,,,
707,0.019342601,0.0,,,,
506,0.015521407,0.0,,,,
759,0.010992229,0.0,,,,
323,0.010636479,0.0,,,,
274,0.009156823,0.0,,,,
761,0.009102941,0.0,,,,
287,0.008447021,0.0,,,,
611,0.007959068,0.0,,,,
447,0.005962223,0.0,,,,
645,0.004839927,0.0,,,,
44,0.0045425594,0.0,,,,
441,0.00451687,0.0,,,,
